name,length,avg_gradient,steepest_section,elevation_gain,duration,latitude,longitude,url
Amerongse Berg,De Amerongse Berg is 1.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Amerongse Berg is 3.1%.,De steilste 100 meter van de Amerongse Berg zijn gemiddeld 6.3%.,De top van de Amerongse Berg ligt op 73 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:15:05 over de Amerongse Berg. Bij 11 km/u is de tijd 00:09:36 en bij 15 km/u 00:07:02. Voor de snelste fietsers is 00:05:33 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/amerongse-berg
Gulperberg,De Gulperberg is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Gulperberg is 10.7%.,De steilste 100 meter van de Gulperberg zijn gemiddeld 15%.,De top van de Gulperberg ligt op 157 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:18 over de Gulperberg. Bij 11 km/u is de tijd 00:02:44 en bij 15 km/u 00:02:00. Voor de snelste fietsers is 00:01:35 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/gulperberg-partij
Gulperberg vanuit Gulpen,De Gulperberg vanuit Gulpen is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Gulperberg vanuit Gulpen is 6.1%.,De steilste 100 meter van de Gulperberg vanuit Gulpen zijn gemiddeld 19.7%.,De top van de Gulperberg vanuit Gulpen ligt op 157 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:35 over de Gulperberg vanuit Gulpen. Bij 11 km/u is de tijd 00:05:28 en bij 15 km/u 00:04:00. Voor de snelste fietsers is 00:03:10 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/gulperberg
Bemelerberg,De Bemelerberg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Bemelerberg is 4.9%.,De steilste 100 meter van de Bemelerberg zijn gemiddeld 7.4%.,De top van de Bemelerberg ligt op 123 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:02 over de Bemelerberg. Bij 11 km/u is de tijd 00:05:06 en bij 15 km/u 00:03:45. Voor de snelste fietsers is 00:02:57 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bemelerberg
Loorberg,De Loorberg is 1.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Loorberg is 5.4%.,De steilste 100 meter van de Loorberg zijn gemiddeld 8.4%.,De top van de Loorberg ligt op 221 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:12:23 over de Loorberg. Bij 11 km/u is de tijd 00:07:53 en bij 15 km/u 00:05:47. Voor de snelste fietsers is 00:04:33 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/loorberg
Kopje van Bloemendaal,De Kopje van Bloemendaal is 1.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Kopje van Bloemendaal is 2.9%.,De steilste 100 meter van de Kopje van Bloemendaal zijn gemiddeld 8.5%.,De top van de Kopje van Bloemendaal ligt op 41 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:13:06 over de Kopje van Bloemendaal. Bij 11 km/u is de tijd 00:08:20 en bij 15 km/u 00:06:07. Voor de snelste fietsers is 00:04:49 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kopje-van-bloemendaal
Fromberg,De Fromberg is 1.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Fromberg is 4%.,De steilste 100 meter van de Fromberg zijn gemiddeld 8.5%.,De top van de Fromberg ligt op 166 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:14:15 over de Fromberg. Bij 11 km/u is de tijd 00:09:04 en bij 15 km/u 00:06:39. Voor de snelste fietsers is 00:05:15 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/fromberg
Italiaanseweg,De Italiaanseweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Italiaanseweg is 4.4%.,De steilste 100 meter van de Italiaanseweg zijn gemiddeld 6.5%.,De top van de Italiaanseweg ligt op 61 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:35 over de Italiaanseweg. Bij 11 km/u is de tijd 00:04:49 en bij 15 km/u 00:03:32. Voor de snelste fietsers is 00:02:47 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/italiaanseweg
Geulhemmerberg,De Geulhemmerberg is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Geulhemmerberg is 5.4%.,De steilste 100 meter van de Geulhemmerberg zijn gemiddeld 8%.,De top van de Geulhemmerberg ligt op 124 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:47 over de Geulhemmerberg. Bij 11 km/u is de tijd 00:06:13 en bij 15 km/u 00:04:34. Voor de snelste fietsers is 00:03:36 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/geulhemmerberg
Camerig via Groenenweg,De Camerig via Groenenweg is 4.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Camerig via Groenenweg is 4.3%.,De steilste 100 meter van de Camerig via Groenenweg zijn gemiddeld 10.2%.,De top van de Camerig via Groenenweg ligt op 290 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:36:17 over de Camerig via Groenenweg. Bij 11 km/u is de tijd 00:23:05 en bij 15 km/u 00:16:56. Voor de snelste fietsers is 00:13:22 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/camerig-groenenweg
Slingerberg,De Slingerberg is 1.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Slingerberg is 5.6%.,De steilste 100 meter van de Slingerberg zijn gemiddeld 7.6%.,De top van de Slingerberg ligt op 111 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:16 over de Slingerberg. Bij 11 km/u is de tijd 00:06:32 en bij 15 km/u 00:04:47. Voor de snelste fietsers is 00:03:46 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/slingerberg
Motieweg,De Motieweg is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Motieweg is 3.7%.,De steilste 100 meter van de Motieweg zijn gemiddeld 9.1%.,De top van de Motieweg ligt op 54 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:36 over de Motieweg. Bij 11 km/u is de tijd 00:05:28 en bij 15 km/u 00:04:01. Voor de snelste fietsers is 00:03:10 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/holterberg
Zevenheuvelenweg vanuit Groesbeek,De Zevenheuvelenweg vanuit Groesbeek is 1.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Zevenheuvelenweg vanuit Groesbeek is 4.1%.,De steilste 100 meter van de Zevenheuvelenweg vanuit Groesbeek zijn gemiddeld 11.7%.,De top van de Zevenheuvelenweg vanuit Groesbeek ligt op 99 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:15:13 over de Zevenheuvelenweg vanuit Groesbeek. Bij 11 km/u is de tijd 00:09:41 en bij 15 km/u 00:07:06. Voor de snelste fietsers is 00:05:36 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/zevenheuvelenweg
Zijpenberg vanuit Rozendaal,De Zijpenberg vanuit Rozendaal is 4.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Zijpenberg vanuit Rozendaal is 2.6%.,De steilste 100 meter van de Zijpenberg vanuit Rozendaal zijn gemiddeld 8.4%.,De top van de Zijpenberg vanuit Rozendaal ligt op 110 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:36:03 over de Zijpenberg vanuit Rozendaal. Bij 11 km/u is de tijd 00:22:56 en bij 15 km/u 00:16:49. Voor de snelste fietsers is 00:13:17 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/zijpenberg-rozendaal
Lange Bosweg,De Lange Bosweg is 2.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Lange Bosweg is 5.1%.,De steilste 100 meter van de Lange Bosweg zijn gemiddeld 17.9%.,De top van de Lange Bosweg ligt op 292 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:19:01 over de Lange Bosweg. Bij 11 km/u is de tijd 00:12:06 en bij 15 km/u 00:08:52. Voor de snelste fietsers is 00:07:00 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/lange-bosweg
Schweiberg vanuit Mechelen,De Schweiberg vanuit Mechelen is 2.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Schweiberg vanuit Mechelen is 4.6%.,De steilste 100 meter van de Schweiberg vanuit Mechelen zijn gemiddeld 10%.,De top van de Schweiberg vanuit Mechelen ligt op 228 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:22:42 over de Schweiberg vanuit Mechelen. Bij 11 km/u is de tijd 00:14:27 en bij 15 km/u 00:10:36. Voor de snelste fietsers is 00:08:22 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/schweiberg
Loorberg via Kersenpad,De Loorberg via Kersenpad is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Loorberg via Kersenpad is 7.3%.,De steilste 100 meter van de Loorberg via Kersenpad zijn gemiddeld 15.8%.,De top van de Loorberg via Kersenpad ligt op 221 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:13 over de Loorberg via Kersenpad. Bij 11 km/u is de tijd 00:05:52 en bij 15 km/u 00:04:18. Voor de snelste fietsers is 00:03:23 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kersenpad
Grebbeberg vanuit Wageningen,De Grebbeberg vanuit Wageningen is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Grebbeberg vanuit Wageningen is 5.5%.,De steilste 100 meter van de Grebbeberg vanuit Wageningen zijn gemiddeld 7.7%.,De top van de Grebbeberg vanuit Wageningen ligt op 50 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:45 over de Grebbeberg vanuit Wageningen. Bij 11 km/u is de tijd 00:03:39 en bij 15 km/u 00:02:41. Voor de snelste fietsers is 00:02:07 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/grebbeberg
Zijpenberg via Snippendaalseweg,De Zijpenberg via Snippendaalseweg is 2.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Zijpenberg via Snippendaalseweg is 3.5%.,De steilste 100 meter van de Zijpenberg via Snippendaalseweg zijn gemiddeld 9.4%.,De top van de Zijpenberg via Snippendaalseweg ligt op 107 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:20:50 over de Zijpenberg via Snippendaalseweg. Bij 11 km/u is de tijd 00:13:15 en bij 15 km/u 00:09:43. Voor de snelste fietsers is 00:07:40 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/zijpenberg-rheden
Col du VAM / VAM-berg via Atteropad,De Col du VAM / VAM-berg via Atteropad is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Col du VAM / VAM-berg via Atteropad is 6%.,De steilste 100 meter van de Col du VAM / VAM-berg via Atteropad zijn gemiddeld 11.2%.,De top van de Col du VAM / VAM-berg via Atteropad ligt op 48 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:56 over de Col du VAM / VAM-berg via Atteropad. Bij 11 km/u is de tijd 00:03:08 en bij 15 km/u 00:02:18. Voor de snelste fietsers is 00:01:49 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vam-berg-noord
Amerongse Berg vanuit Amerongen,De Amerongse Berg vanuit Amerongen is 2.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Amerongse Berg vanuit Amerongen is 2.7%.,De steilste 100 meter van de Amerongse Berg vanuit Amerongen zijn gemiddeld 7.9%.,De top van de Amerongse Berg vanuit Amerongen ligt op 73 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:18:34 over de Amerongse Berg vanuit Amerongen. Bij 11 km/u is de tijd 00:11:49 en bij 15 km/u 00:08:40. Voor de snelste fietsers is 00:06:50 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/amerongse-berg-amerongen
Brakkeberg via Vogelzangweg,De Brakkeberg via Vogelzangweg is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Brakkeberg via Vogelzangweg is 9.6%.,De steilste 100 meter van de Brakkeberg via Vogelzangweg zijn gemiddeld 11.7%.,De top van de Brakkeberg via Vogelzangweg ligt op 128 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:37 over de Brakkeberg via Vogelzangweg. Bij 11 km/u is de tijd 00:03:35 en bij 15 km/u 00:02:37. Voor de snelste fietsers is 00:02:04 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/brakkeberg
Koning van Spanje,De Koning van Spanje is 1.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Koning van Spanje is 4.5%.,De steilste 100 meter van de Koning van Spanje zijn gemiddeld 10.6%.,De top van de Koning van Spanje ligt op 172 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:14:14 over de Koning van Spanje. Bij 11 km/u is de tijd 00:09:03 en bij 15 km/u 00:06:38. Voor de snelste fietsers is 00:05:14 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/koning-van-spanje
Lemelerberg vanuit Lemele,De Lemelerberg vanuit Lemele is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Lemelerberg vanuit Lemele is 3.8%.,De steilste 100 meter van de Lemelerberg vanuit Lemele zijn gemiddeld 6.2%.,De top van de Lemelerberg vanuit Lemele ligt op 49 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:50 over de Lemelerberg vanuit Lemele. Bij 11 km/u is de tijd 00:05:37 en bij 15 km/u 00:04:07. Voor de snelste fietsers is 00:03:15 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/lemelerberg
Sibbergrubbe vanuit Valkenburg,De Sibbergrubbe vanuit Valkenburg is 1.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Sibbergrubbe vanuit Valkenburg is 4.1%.,De steilste 100 meter van de Sibbergrubbe vanuit Valkenburg zijn gemiddeld 7.5%.,De top van de Sibbergrubbe vanuit Valkenburg ligt op 152 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:15:08 over de Sibbergrubbe vanuit Valkenburg. Bij 11 km/u is de tijd 00:09:37 en bij 15 km/u 00:07:03. Voor de snelste fietsers is 00:05:34 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/sibbergrubbe
Kromhagerweg,De Kromhagerweg is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Kromhagerweg is 11.6%.,De steilste 100 meter van de Kromhagerweg zijn gemiddeld 14.3%.,De top van de Kromhagerweg ligt op 178 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:39 over de Kromhagerweg. Bij 11 km/u is de tijd 00:02:57 en bij 15 km/u 00:02:10. Voor de snelste fietsers is 00:01:42 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kromhagerweg
Rozenbos / Holleweg,De Rozenbos / Holleweg is 1.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Rozenbos / Holleweg is 3.8%.,De steilste 100 meter van de Rozenbos / Holleweg zijn gemiddeld 8.2%.,De top van de Rozenbos / Holleweg ligt op 85 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:13:03 over de Rozenbos / Holleweg. Bij 11 km/u is de tijd 00:08:18 en bij 15 km/u 00:06:05. Voor de snelste fietsers is 00:04:48 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/holleweg-veluwezoom
Holleweg vanuit Kasteel Doorwerth,De Holleweg vanuit Kasteel Doorwerth is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Holleweg vanuit Kasteel Doorwerth is 5%.,De steilste 100 meter van de Holleweg vanuit Kasteel Doorwerth zijn gemiddeld 11.4%.,De top van de Holleweg vanuit Kasteel Doorwerth ligt op 62 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:24 over de Holleweg vanuit Kasteel Doorwerth. Bij 11 km/u is de tijd 00:04:43 en bij 15 km/u 00:03:27. Voor de snelste fietsers is 00:02:43 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/holleweg-doorwerth
Beekmansdalseweg,De Beekmansdalseweg is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Beekmansdalseweg is 10.7%.,De steilste 100 meter van de Beekmansdalseweg zijn gemiddeld 12.5%.,De top van de Beekmansdalseweg ligt op 55 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:17 over de Beekmansdalseweg. Bij 11 km/u is de tijd 00:02:05 en bij 15 km/u 00:01:32. Voor de snelste fietsers is 00:01:12 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/beekmansdalseweg
Epenerbaan,De Epenerbaan is 2.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Epenerbaan is 4.2%.,De steilste 100 meter van de Epenerbaan zijn gemiddeld 10.2%.,De top van de Epenerbaan ligt op 292 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:23:08 over de Epenerbaan. Bij 11 km/u is de tijd 00:14:43 en bij 15 km/u 00:10:48. Voor de snelste fietsers is 00:08:31 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/epenerbaan
Emmapiramide,De Emmapiramide is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Emmapiramide is 5.6%.,De steilste 100 meter van de Emmapiramide zijn gemiddeld 8.6%.,De top van de Emmapiramide ligt op 89 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:29 over de Emmapiramide. Bij 11 km/u is de tijd 00:03:29 en bij 15 km/u 00:02:33. Voor de snelste fietsers is 00:02:01 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/emmapiramide
Rugweg via Vijlen,De Rugweg via Vijlen is 3.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Rugweg via Vijlen is 3.5%.,De steilste 100 meter van de Rugweg via Vijlen zijn gemiddeld 8.6%.,De top van de Rugweg via Vijlen ligt op 274 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:33:23 over de Rugweg via Vijlen. Bij 11 km/u is de tijd 00:21:14 en bij 15 km/u 00:15:34. Voor de snelste fietsers is 00:12:17 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/rugweg
Muur van Beek / Van Randwijckweg vanuit Beek,De Muur van Beek / Van Randwijckweg vanuit Beek is 1.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Muur van Beek / Van Randwijckweg vanuit Beek is 6.5%.,De steilste 100 meter van de Muur van Beek / Van Randwijckweg vanuit Beek zijn gemiddeld 10.1%.,De top van de Muur van Beek / Van Randwijckweg vanuit Beek ligt op 94 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:58 over de Muur van Beek / Van Randwijckweg vanuit Beek. Bij 11 km/u is de tijd 00:06:20 en bij 15 km/u 00:04:39. Voor de snelste fietsers is 00:03:40 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/van-randwijckweg
Holterberg vanuit Holten,De Holterberg vanuit Holten is 1.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Holterberg vanuit Holten is 2.6%.,De steilste 100 meter van de Holterberg vanuit Holten zijn gemiddeld 5.4%.,De top van de Holterberg vanuit Holten ligt op 53 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:11:34 over de Holterberg vanuit Holten. Bij 11 km/u is de tijd 00:07:22 en bij 15 km/u 00:05:24. Voor de snelste fietsers is 00:04:15 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/holterberg-zuid
Maasberg vanuit Kasteel Elsloo,De Maasberg vanuit Kasteel Elsloo is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Maasberg vanuit Kasteel Elsloo is 3.7%.,De steilste 100 meter van de Maasberg vanuit Kasteel Elsloo zijn gemiddeld 10.1%.,De top van de Maasberg vanuit Kasteel Elsloo ligt op 68 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:44 over de Maasberg vanuit Kasteel Elsloo. Bij 11 km/u is de tijd 00:03:39 en bij 15 km/u 00:02:40. Voor de snelste fietsers is 00:02:06 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/maasberg
Col du VAM / VAM-berg via MountVAMpad,De Col du VAM / VAM-berg via MountVAMpad is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Col du VAM / VAM-berg via MountVAMpad is 9.7%.,De steilste 100 meter van de Col du VAM / VAM-berg via MountVAMpad zijn gemiddeld 11.8%.,De top van de Col du VAM / VAM-berg via MountVAMpad ligt op 42 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:28 over de Col du VAM / VAM-berg via MountVAMpad. Bij 11 km/u is de tijd 00:01:34 en bij 15 km/u 00:01:09. Voor de snelste fietsers is 00:00:54 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vam-berg-zuid
Col du VAM / VAM-berg kasseien via Atteropad,De Col du VAM / VAM-berg kasseien via Atteropad is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Col du VAM / VAM-berg kasseien via Atteropad is 6.4%.,De steilste 100 meter van de Col du VAM / VAM-berg kasseien via Atteropad zijn gemiddeld 11.2%.,De top van de Col du VAM / VAM-berg kasseien via Atteropad ligt op 48 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:38 over de Col du VAM / VAM-berg kasseien via Atteropad. Bij 11 km/u is de tijd 00:02:57 en bij 15 km/u 00:02:09. Voor de snelste fietsers is 00:01:42 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vam-berg-kasseien
Koerheuvel via Paardenveld,De Koerheuvel via Paardenveld is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Koerheuvel via Paardenveld is 5.6%.,De steilste 100 meter van de Koerheuvel via Paardenveld zijn gemiddeld 7.9%.,De top van de Koerheuvel via Paardenveld ligt op 51 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:54 over de Koerheuvel via Paardenveld. Bij 11 km/u is de tijd 00:03:07 en bij 15 km/u 00:02:17. Voor de snelste fietsers is 00:01:48 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/koerheuvel
